,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0.5,0.1,2,0.4,0.4167,0.6667,0,2.8167,0.65,0.3333,0.8333,5,2U1D,2.0,True,0.226,0,False,right
1,0.5,0.1,2,0.4167,0.2167,0.6,1,2.5667,0.65,0.3333,0.8333,5,3U1D,1.0,False,0.215,0,False,left
2,0.5,0.1,2,0.2333,0.45,0.6167,2,2.6333,0.65,0.3333,0.8333,5,3D1U,1.0,False,0.849,0,False,left
3,0.5,0.1,1,0.3167,0.45,0.5167,3,2.7167,0.85,0.4333,0.9333,5,3U1D,2.0,False,0.346,0,False,right
4,0.5,0.1,2,0.3,0.3833,0.8833,4,2.1666,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.882,0,False,left
5,0.5,0.1,1,0.4333,0.3833,0.65,5,2.7999,0.65,0.3333,0.8333,5,2U1D,1.0,True,0.998,0,False,left
6,0.5,0.1,1,0.25,0.4167,0.5667,6,2.5667,0.65,0.3333,0.8333,5,2D1U,1.0,True,1.121,0,False,left
7,0.5,0.1,1,0.2,0.2167,0.4667,7,2.3167,0.85,0.4333,0.9333,5,3D1U,2.0,False,1.151,0,False,right
8,0.5,0.1,2,0.4333,0.3333,0.5333,8,2.6999,0.8,0.4,0.9,5,lapse_rate,1.0,False,0.366,0,False,left
9,0.5,0.1,1,0.25,0.3333,0.5333,9,2.4499,0.65,0.3333,0.8333,5,2D1U,2.0,False,0.166,0,False,right
10,0.5,0.1,2,0.35,0.2,0.7,10,2.7667,1.05,0.5333,1.0167,5,3U1D,1.0,False,0.617,0,False,left
11,0.5,0.1,1,0.4167,0.4,0.7167,11,2.7667,0.45,0.2333,0.7333,5,2U1D,1.0,True,0.583,0,False,left
12,0.5,0.1,2,0.3333,0.2667,0.7167,12,2.55,0.45,0.2333,0.7333,5,2U1D,1.0,False,0.798,0,False,left
13,0.5,0.1,2,0.4,0.4333,0.5167,13,2.8667,1.05,0.5333,1.0167,5,3D1U,2.0,True,0.413,0,False,right
14,0.5,0.1,2,0.3167,0.2167,0.5833,14,2.75,1.25,0.6333,1.1333,5,3U1D,2.0,True,1.317,0,False,right
15,0.5,0.1,2,0.3333,0.3,0.45,15,2.5166,0.85,0.4333,0.9333,5,2D1U,2.0,True,0.603,0,False,right
16,0.5,0.1,2,0.3833,0.2333,0.45,16,1.6666,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.904,0,False,left
17,0.5,0.1,2,0.2333,0.2667,0.8833,17,2.8166,0.85,0.4333,0.9333,5,2D1U,2.0,True,0.33,0,False,right
18,0.5,0.1,1,0.35,0.3,0.8167,18,3.1,1.25,0.6333,1.1333,5,3U1D,1.0,True,1.316,0,False,left
19,0.5,0.1,2,0.2833,0.3333,0.7,19,2.6166,0.584,0.3,0.8,5,2U1D,2.0,True,0.681,1,True,right
20,0.5,0.1,1,0.3,0.3,0.75,20,2.75,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.595,0,False,left
21,0.5,0.1,1,0.25,0.3333,0.6,21,2.7,1.05,0.5333,1.0167,5,3D1U,1.0,True,0.816,0,False,left
22,0.5,0.1,2,0.3167,0.2333,0.8667,22,3.05,1.25,0.6333,1.1333,5,3U1D,2.0,True,0.282,0,False,right
23,0.5,0.1,1,0.3333,0.4,0.6667,23,2.9167,1.05,0.5333,1.0167,5,3D1U,1.0,True,1.498,0,False,left
24,0.5,0.1,1,0.3833,0.3167,0.5667,24,2.5667,0.584,0.3,0.8,5,2U1D,2.0,False,1.5,1,True,right
25,0.5,0.1,2,0.3333,0.2333,0.4333,25,1.5999,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.968,0,False,left
26,0.5,0.1,1,0.25,0.2167,0.6,26,2.4167,0.716,0.35,0.85,5,2D1U,2.0,False,0.784,1,True,right
27,0.5,0.1,2,0.3333,0.4,0.8,27,2.1333,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.617,0,False,left
28,0.5,0.1,2,0.3333,0.35,0.8167,28,3.05,1.116,0.55,1.05,5,3U1D,2.0,True,0.316,1,True,right
29,0.5,0.1,1,0.3167,0.4,0.6333,29,2.8,0.916,0.45,0.95,5,3D1U,2.0,False,0.55,1,True,right
30,0.5,0.1,2,0.3167,0.45,0.4333,30,2.5667,0.718,0.3667,0.8667,5,2U1D,2.0,True,0.58,1,False,right
31,0.5,0.1,2,0.2167,0.4333,0.45,31,2.5,0.8058,0.4,0.9,5,2D1U,2.0,True,0.597,2,True,right
32,0.5,0.1,2,0.4333,0.35,0.7167,32,3.0,1.0058,0.5,1.0,5,3D1U,1.0,False,0.981,2,True,left
